gene,in_dna_le_union,in_telomere_le_union,day1_log2FoldChange,day1_stat,day1_padj,day3_log2FoldChange,day3_stat,day3_padj
RBX1,True,False,0.226200203499164,1.16883764193228,0.481749817942439,0.284747718763732,1.47471822234255,0.623997190019327
RFC2,True,True,0.612250251450326,2.83612504307274,0.0341579977007623,0.570719911262573,2.65333591365194,0.217424026705991
RFC3,True,True,0.465716042629067,1.8383656905716,0.212049293323385,-0.0474356160171041,-0.186996614114515,0.982804560642881
RPA1,False,True,0.139504338771448,0.775702698349174,0.670710675657941,0.251662566447727,1.40531027785766,0.65341202414308
RPA2,True,True,0.358345334408157,1.88274044495006,0.198633156038726,0.0921294290117481,0.484602024228808,0.931610762646523
RUVBL1,False,True,0.560208228066515,2.72354081106498,0.0435391084618403,0.375420963812521,1.82701923178438,0.486001548045083
RUVBL2,False,True,1.43909539764374,4.23584078630192,0.000781935903397509,0.970448717181192,2.85570405959475,0.174842473307436
SAC3D1,True,False,1.59569744556272,4.05193679064272,0.00137056846280435,0.90142852092962,2.27961409007598,0.315159596967039
SNAPC4,True,False,0.885420764647692,3.18733306293518,0.0149073484005242,0.298868709717148,1.07423416725973,0.784680459818469
SSRP1,True,False,0.285770282475292,1.63861352461702,0.280540520035498,0.279984522359682,1.60645124333868,0.571761075297657
SUPT4H1,True,False,0.209396427729255,1.16737334697098,0.482641905602797,0.226078290204702,1.26352758218782,0.712638156324506
SUPT5H,True,False,0.601422147003592,3.22545054283919,0.0135608314983136,0.435852111583495,2.33808823837606,0.296686705609838
SURF1,True,False,0.387776632950866,1.64782457221255,0.277187611576132,0.24688782957165,1.05075816448942,0.793091641569713
TAF10,True,False,0.467966037505376,2.74612960556729,0.0414306042265599,0.180365516465007,1.05914593077528,0.789384393119836
TAF1C,True,False,0.396291735065193,1.6681163768931,0.269990219631236,0.114347620713032,0.481406446267938,0.932325829583856
TAF6,True,False,0.590868734776,2.99542511393098,0.0237408680088034,0.471375961601934,2.3919378265917,0.282013588402851
TARBP2,True,False,0.892486750905763,3.94821552925339,0.00189055540057456,0.508037014294692,2.24683697240821,0.325013129495854
TERF2,False,True,0.318549772376713,1.88899234748425,0.19687412071853,0.178881283286598,1.0616408313713,0.788317299020359
TINF2,False,True,0.452511722199382,2.47880357169869,0.0710290976036212,0.294817429344755,1.61701795046063,0.567727058188096
TP53,True,False,0.964453930787506,3.80934910833237,0.00290885963778275,0.287906760545467,1.1311861358755,0.766867364341639
