gene,gene_id,day1_le,day3_le,dna_member,dna_day1_le,dna_day3_le,modules,reactome_children,child_names,reaction_annotations,reaction_ids,annotation_basis,day1_log2fc,day1_SE,day1_stat,day1_gene_fdr,day3_log2fc,day3_SE,day3_stat,day3_gene_fdr,day3_minus_day1_log2fc,day3_minus_day1_SE,day3_minus_day1_stat,day3_minus_day1_gene_fdr
POLR2L,ENSG00000177700.5,True,True,False,False,False,Recombination / chromatin / TERRA,R-HSA-9670095,Inhibition of DNA recombination at telomere,TERRA transcription participants,R-HSA-9670149,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),1.88226809628901,0.640937501624987,2.93674202479469,0.02711111458674,1.45056408646503,0.641091807238211,2.26264642612417,0.32059617149921,-0.431704009823988,0.6374666825115,-0.677218153775746,0.941677338486696
RFC2,ENSG00000049541.6,True,True,True,True,True,C-strand synthesis,R-HSA-180786;R-HSA-174417;R-HSA-174411,Extension of Telomeres;Telomere C-strand (Lagging Strand) Synthesis;Polymerase switching on the C-strand of the telomere,,,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.612250251450326,0.215875619781206,2.83612504307274,0.0341579977007623,0.570719911262573,0.215095234766961,2.65333591365194,0.217424026705991,-0.0415303401877523,0.21446125902836,-0.19364961474119,0.991533260370987
RFC3,ENSG00000133119.8,True,False,True,True,False,C-strand synthesis,R-HSA-180786;R-HSA-174417;R-HSA-174411,Extension of Telomeres;Telomere C-strand (Lagging Strand) Synthesis;Polymerase switching on the C-strand of the telomere,,,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.465716042629067,0.253331556946248,1.8383656905716,0.212049293323385,-0.0474356160171041,0.253670988866434,-0.186996614114515,0.982804560642881,-0.513151658646171,0.25361009134852,-2.02338817007474,0.511351308972745
RPA1,ENSG00000132383.7,False,True,False,False,False,C-strand synthesis,R-HSA-180786;R-HSA-174417;R-HSA-174414,Extension of Telomeres;Telomere C-strand (Lagging Strand) Synthesis;Processive synthesis on the C-strand of the telomere,,,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.139504338771448,0.179842533832016,0.775702698349174,0.670710675657941,0.251662566447727,0.17907971670952,1.40531027785766,0.65341202414308,0.112158227676279,0.179525175577018,0.624749299455006,0.950502129568153
RPA2,ENSG00000117748.5,True,False,True,True,False,C-strand synthesis,R-HSA-180786;R-HSA-174417;R-HSA-174414,Extension of Telomeres;Telomere C-strand (Lagging Strand) Synthesis;Processive synthesis on the C-strand of the telomere,,,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.358345334408157,0.190331776942128,1.88274044495006,0.198633156038726,0.0921294290117481,0.190113586831096,0.484602024228808,0.931610762646523,-0.266215905396409,0.190204203872754,-1.39963207950181,0.767418839523199
RUVBL1,ENSG00000175792.7,True,True,False,False,False,Telomerase extension / RNP,R-HSA-180786;R-HSA-171319,Extension of Telomeres;Telomere Extension By Telomerase,Telomerase RNP assembly participants,R-HSA-164616,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.560208228066515,0.20569114506768,2.72354081106498,0.0435391084618403,0.375420963812521,0.20548276519556,1.82701923178438,0.486001548045083,-0.184787264253994,0.205334323138054,-0.899933637153077,0.899406731439709
RUVBL2,ENSG00000183207.8,True,True,False,False,False,Telomerase extension / RNP,R-HSA-180786;R-HSA-171319,Extension of Telomeres;Telomere Extension By Telomerase,Telomerase RNP assembly participants,R-HSA-164616,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),1.43909539764374,0.339742561216551,4.23584078630192,0.000781935903397509,0.970448717181192,0.339828181397377,2.85570405959475,0.174842473307436,-0.468646680462552,0.338803568063051,-1.38324009732783,0.772562157241299
TERF2,ENSG00000132604.6,True,True,False,False,False,Packaging / protection;Telomerase extension / RNP;C-strand synthesis;Recombination / chromatin / TERRA,R-HSA-180786;R-HSA-171319;R-HSA-174417;R-HSA-174430;R-HSA-174411;R-HSA-174414;R-HSA-9670095,Extension of Telomeres;Telomere Extension By Telomerase;Telomere C-strand (Lagging Strand) Synthesis;Telomere C-strand synthesis initiation;Polymerase switching on the C-strand of the telomere;Processive synthesis on the C-strand of the telomere;Inhibition of DNA recombination at telomere,TERRA transcription participants;Packaging / protection,R-HSA-9670149;R-HSA-171306,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.318549772376713,0.16863476064419,1.88899234748425,0.19687412071853,0.178881283286598,0.168495104936328,1.0616408313713,0.788317299020359,-0.139668489090115,0.1685475573049,-0.828659230210357,0.915217130541409
TINF2,ENSG00000092330.11,True,True,False,False,False,Packaging / protection;Telomerase extension / RNP;C-strand synthesis;Recombination / chromatin / TERRA,R-HSA-180786;R-HSA-171319;R-HSA-174417;R-HSA-174430;R-HSA-174411;R-HSA-174414;R-HSA-9670095,Extension of Telomeres;Telomere Extension By Telomerase;Telomere C-strand (Lagging Strand) Synthesis;Telomere C-strand synthesis initiation;Polymerase switching on the C-strand of the telomere;Processive synthesis on the C-strand of the telomere;Inhibition of DNA recombination at telomere,TERRA transcription participants;Packaging / protection,R-HSA-9670149;R-HSA-171306,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.452511722199382,0.182552473042179,2.47880357169869,0.0710290976036212,0.294817429344755,0.18232168001646,1.61701795046063,0.567727058188096,-0.157694292854627,0.182275191472895,-0.865144025253034,0.906806958167914
WRAP53,ENSG00000141499.12,True,True,False,False,False,Telomerase extension / RNP,R-HSA-180786;R-HSA-171319,Extension of Telomeres;Telomere Extension By Telomerase,Telomerase RNP assembly participants,R-HSA-164616,MSigDB 2026.1.Hs available child memberships; packaging and reaction annotations: Reactome 97 (packaging absent from GMT),0.438117165021511,0.236054566030284,1.85599953599416,0.206558971267774,0.319794297458282,0.235325022503477,1.35894727239879,0.672117406099213,-0.118322867563229,0.235227845334391,-0.503013864685218,0.967563235339134
