"block","contrast","symbol","log2_normalized_ratio"
"68_3__batch1","day1_vs_control","KIF3C",0.593726285077741
"68_3__batch1","day1_vs_control","ARL6IP1",-0.442879808903877
"68_3__batch1","day1_vs_control","HNRNPU",-0.164963448668034
"68_3__batch1","day1_vs_control","TRIM2",-0.00855269667798808
"68_3__batch1","day1_vs_control","ATP6V0A1",-0.133846518689964
"68_3__batch1","day1_vs_control","OLFM1",0.35927573152126
"68_3__batch1","day1_vs_control","ATP6AP2",-0.380868195749644
"68_3__batch1","day1_vs_control","MGEA5",-0.22898735929423
"68_3__batch1","day1_vs_control","ACSL4",-0.648270229300104
"68_3__batch1","day1_vs_control","ATP2A2",0.360017688399095
"68_3__batch1","day1_vs_control","PFN2",0.0343719624960528
"68_3__batch1","day1_vs_control","PGAP1",-0.559045740100746
"68_3__batch1","day1_vs_control","NAP1L3",0.156941689707679
"68_3__batch1","day1_vs_control","HUWE1",0.320807299921233
"68_3__batch1","day1_vs_control","PRRC2B",0.289738456723342
"68_3__batch1","day1_vs_control","CXADR",-0.44643504922764
"68_3__batch1","day1_vs_control","PRKAR1A",0.41733104016836
"68_3__batch1","day1_vs_control","TOP2B",-0.106013363166912
"68_3__batch1","day1_vs_control","PTPRS",0.00665251379990828
"68_3__batch1","day1_vs_control","AKAP12",-0.0259346661612962
"68_3__batch1","day1_vs_control","CCDC88A",-0.0688181484432864
"68_3__batch1","day1_vs_control","VAT1L",0.553413846034459
"68_3__batch1","day1_vs_control","ATP1B1",0.071185352391824
"68_3__batch1","day1_vs_control","HNRNPDL",-0.0382124627561886
"68_3__batch1","day1_vs_control","UNC13A",0.424383811195009
"68_3__batch1","day1_vs_control","NRXN1",-0.342088107255023
"68_3__batch1","day1_vs_control","CHD3",0.147101749605145
"68_3__batch1","day1_vs_control","SCN2A",-0.631134623822126
"68_3__batch1","day1_vs_control","SCRN1",0.439017655850247
"68_3__batch1","day1_vs_control","LARP1",0.244389665328487
"68_3__batch1","day1_vs_control","ILF3",0.238614318958739
"68_3__batch1","day1_vs_control","FADS2",0.273712974276691
"68_3__batch1","day1_vs_control","TPT1",-0.46569905990939
"68_3__batch1","day1_vs_control","TRIO",0.219894405931342
"68_3__batch1","day1_vs_control","ARHGEF12",0.0731452090297804
"68_3__batch1","day1_vs_control","ISLR2",0.25394920777919
"68_3__batch1","day1_vs_control","PTPRO",-0.727927205267816
