"gene_id","symbol","mean_normalized_count","selected"
"ENSG00000109654.10","TRIM2",16993.5988064726,TRUE
"ENSG00000033627.10","ATP6V0A1",16956.5682371058,TRUE
"ENSG00000130558.14","OLFM1",16947.6767409051,TRUE
"ENSG00000182220.9","ATP6AP2",16921.940966913,TRUE
"ENSG00000198408.9","MGEA5",16913.3188506638,TRUE
"ENSG00000068366.15","ACSL4",16819.9647667648,TRUE
"ENSG00000174437.12","ATP2A2",16720.8714333714,TRUE
"ENSG00000070087.9","PFN2",16684.3907002823,TRUE
"ENSG00000197121.10","PGAP1",16588.4174311218,TRUE
"ENSG00000186310.9","NAP1L3",16548.930195546,TRUE
"ENSG00000086758.11","HUWE1",16388.5257261191,TRUE
"ENSG00000130723.13","PRRC2B",16290.8563891251,TRUE
"ENSG00000154639.14","CXADR",16221.2233454701,TRUE
"ENSG00000108946.10","PRKAR1A",16195.6780704632,TRUE
"ENSG00000077097.9","TOP2B",16180.3114484588,TRUE
"ENSG00000105426.10","PTPRS",16043.8323772312,TRUE
"ENSG00000131016.12","AKAP12",16029.0928667171,TRUE
"ENSG00000115355.11","CCDC88A",16024.5582392012,TRUE
"ENSG00000171724.2","VAT1L",16005.3924180448,TRUE
"ENSG00000143153.8","ATP1B1",15981.6841785793,TRUE
"ENSG00000152795.13","HNRNPDL",15945.6682910871,TRUE
"ENSG00000130477.10","UNC13A",15860.6916625959,TRUE
"ENSG00000179915.16","NRXN1",15765.757812546,TRUE
"ENSG00000170004.12","CHD3",15695.3070937154,TRUE
"ENSG00000136531.9","SCN2A",15685.6772278693,TRUE
"ENSG00000136193.12","SCRN1",15596.4990155846,TRUE
"ENSG00000155506.12","LARP1",15480.6865328427,TRUE
"ENSG00000129351.13","ILF3",15428.6547458665,TRUE
"ENSG00000134824.9","FADS2",15422.7188946763,TRUE
"ENSG00000133112.12","TPT1",15382.3010751082,TRUE
"ENSG00000038382.13","TRIO",15235.7103692636,TRUE
"ENSG00000196914.4","ARHGEF12",15065.3893456469,TRUE
"ENSG00000167178.11","ISLR2",14984.5825408989,TRUE
"ENSG00000151490.9","PTPRO",14972.4168116897,TRUE
"ENSG00000140557.7","ST8SIA2",14966.2645844665,TRUE
"ENSG00000055163.14","CYFIP2",14959.1010385705,TRUE
"ENSG00000251562.3","MALAT1",14958.5183147118,TRUE
"ENSG00000166206.9","GABRB3",14928.2401896518,TRUE
"ENSG00000114573.5","ATP6V1A",14900.007059455,TRUE
"ENSG00000047849.17","MAP4",14899.7820041383,TRUE
"ENSG00000134138.15","MEIS2",14891.8947147233,TRUE
"ENSG00000138688.11","KIAA1109",14862.9892675706,TRUE
"ENSG00000152234.11","ATP5A1",14795.4867484516,TRUE
"ENSG00000159335.11","PTMS",14791.1127167901,TRUE
"ENSG00000170500.8","LONRF2",14767.1012070117,TRUE
"ENSG00000171603.12","CLSTN1",14764.3603728205,TRUE
"ENSG00000087258.9","GNAO1",14760.344036963,TRUE
"ENSG00000166963.8","MAP1A",14731.0549029439,TRUE
"ENSG00000198689.5","SLC9A6",14621.4585214223,TRUE
"ENSG00000117461.10","PIK3R3",14571.5995082404,TRUE
"ENSG00000153253.11","SCN3A",14549.154872371,TRUE
"ENSG00000264364.2","DYNLL2",14535.7128370561,TRUE
"ENSG00000070961.10","ATP2B1",14447.0583338767,TRUE
"ENSG00000052802.8","MSMO1",14379.589433839,TRUE
"ENSG00000135486.13","HNRNPA1",14355.7086640732,TRUE
"ENSG00000178104.15","PDE4DIP",14345.339189274,TRUE
"ENSG00000135052.12","GOLM1",14290.8221828853,TRUE
"ENSG00000174231.12","PRPF8",14211.3097504033,TRUE
"ENSG00000173812.6","EIF1",14159.9352699243,TRUE
"ENSG00000022267.12","FHL1",14116.9640530097,TRUE
"ENSG00000152977.5","ZIC1",14081.2798513983,TRUE
"ENSG00000110436.7","SLC1A2",14030.3169707367,TRUE
"ENSG00000187189.9","TSPYL4",13989.9634967643,TRUE
"ENSG00000147548.12","WHSC1L1",13883.1558830395,TRUE
"ENSG00000154917.6","RAB6B",13841.0471456765,TRUE
"ENSG00000240694.4","PNMA2",13764.1892476107,TRUE
"ENSG00000120137.6","PANK3",13722.5093674655,TRUE
"ENSG00000104722.9","NEFM",13696.0883484762,TRUE
"ENSG00000170558.4","CDH2",13651.5335759132,TRUE
"ENSG00000104549.7","SQLE",13649.1792927191,TRUE
"ENSG00000119335.12","SET",13639.8740871408,TRUE
"ENSG00000164091.7","WDR82",13570.6048489811,TRUE
"ENSG00000061676.10","NCKAP1",13546.9492977396,TRUE
"ENSG00000107863.12","ARHGAP21",13502.9293106194,TRUE
"ENSG00000170144.14","HNRNPA3",13430.3507069182,TRUE
"ENSG00000130287.9","NCAN",13406.514881559,TRUE
"ENSG00000112697.11","TMEM30A",13403.8438601257,TRUE
"ENSG00000102316.12","MAGED2",13399.4276807207,TRUE
"ENSG00000070831.11","CDC42",13392.9585738957,TRUE
"ENSG00000164754.8","RAD21",13331.3117088248,TRUE
"ENSG00000147162.9","OGT",13263.8826195637,TRUE
"ENSG00000166598.8","HSP90B1",13249.0729318308,TRUE
"ENSG00000049759.12","NEDD4L",13179.6700994464,TRUE
"ENSG00000189159.11","HN1",13163.4836301811,TRUE
"ENSG00000125827.4","TMX4",13108.7835590039,TRUE
"ENSG00000106723.12","SPIN1",13079.4394618107,TRUE
"ENSG00000099622.9","CIRBP",13077.0865165754,TRUE
"ENSG00000131473.12","ACLY",13070.0388345387,TRUE
"ENSG00000180354.11","C7orf41",13061.2343220231,TRUE
"ENSG00000149639.10","SOGA1",13044.0908968333,TRUE
"ENSG00000176749.4","CDK5R1",13014.7327808774,TRUE
"ENSG00000169045.13","HNRNPH1",12999.5786653526,TRUE
"ENSG00000261115.1","TMEM178B",12982.5657039637,TRUE
"ENSG00000140836.10","ZFHX3",12844.2050909908,TRUE
"ENSG00000138757.10","G3BP2",12774.7440271015,TRUE
"ENSG00000005810.13","MYCBP2",12764.293240945,TRUE
"ENSG00000143702.11","CEP170",12732.4556631201,TRUE
"ENSG00000168374.6","ARF4",12708.2483158802,TRUE
"ENSG00000103657.9","HERC1",12681.4641040549,TRUE
"ENSG00000174460.3","ZCCHC12",12659.1403784382,TRUE
"ENSG00000046653.10","GPM6B",12601.4183609828,TRUE
"ENSG00000257151.1","PWAR6",12592.2490706146,TRUE
"ENSG00000166848.5","TERF2IP",12509.9705098067,TRUE
