pathway,pval,log2err,ES,NES,size,leadingEdge,tier,variant,contrast,rank_kind,fgsea_internal_padj,ranked_genes,rank_ties,family_fdr
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.07440193073245e-05,0.593325476396405,-0.393671266498301,-1.82687738657244,182.0,RHOT2;MRPS12;CYCS;GPX4;TCIRG1;MRPL15;NDUFB2;NDUFV2;MRPS15;TIMM13;ATP6V0C;ECI1;CYC1;UQCRQ;COX10;SLC25A3;MPC1;COX17;PHYH;COX8A;SDHB;NDUFS8;PDHA1;MRPL34;CYB5R3;SLC25A5;MDH2;NDUFA7;HSPA9;ACAA1;NDUFS7;NDUFV1;NDUFAB1;FDX1;NDUFB3;SLC25A20;NDUFS6;TIMM50;HSD17B10;OGDH;POLR2F;COX5B;TIMM8B;NDUFA2;PMPCA;UQCRFS1;NDUFA1;NDUFB7;HTRA2;ATP1B1;ECH1;TIMM9;ATP6V1F;NDUFB6;IDH3A;ETFB;SLC25A4;UQCRC1;MRPL11;ATP6V1E1;NDUFA9;IDH3B;MTX2;COX6A1;MRPS22;MFN2;SUCLG1;BAX;IDH2;UQCR11;UQCR10;ECHS1;ATP6V0B;OXA1L;ACAT1;VDAC2;SURF1;NDUFS4;NDUFA3;ACO2;MRPS30;ABCB7;DLD;TOMM22;GRPEL1;VDAC1;COX7B;DLAT;TIMM10;NDUFS3;ATP6V0E1;ACADVL;NDUFA6;COX6B1;UQCRC2;SDHD,primary,primary,day3_vs_day1,Wald,0.0001396722509952,21098,0,4.0290072402467e-05
HALLMARK_GLYCOLYSIS,0.0006432508994097,0.477270815362862,-0.338432259142213,-1.5710436459824,184.0,SPAG4;COL5A1;FKBP4;HSPA5;ME1;GYS1;CD44;PSMC4;IER3;ALDOA;CLN6;VEGFA;IL13RA1;PMM2;GAL3ST1;ARTN;ISG20;ENO1;CHPF2;KDELR3;GPC1;GMPPB;IGFBP3;AGRN;NOL3;CITED2;TGFA;MPI;IDUA;MDH2;AK4;B3GALT6;GALE;GALK2;B4GALT7;SLC16A3;PAM;AURKA;SLC25A10;ANGPTL4;XYLT2;PDK3;PGK1;STC2;LHPP;CHPF;ELF3;CXCR4;GUSB;NT5E;FAM162A;HAX1;PGLS;RBCK1;ECD;DPYSL4;CHST1;MIF;PLOD1;PYGL;CACNA1H;TPST1;PFKP;BIK;CLDN9;ME2,primary,primary,day3_vs_day1,Wald,0.0027874205641089,21098,0,0.0010720848323495
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.197486871717929,0.0420644872196636,-0.331640002669367,-1.19096194394961,42.0,JUNB;PRDX4;SBNO2;GPX4;GLRX2;TXNRD2;STK25;LAMTOR5;HMOX2;GPX3;MSRA,primary,primary,day3_vs_day1,Wald,0.285258814703676,21098,0,0.211593076840639
HALLMARK_MTORC1_SIGNALING,0.0208749319295698,0.134050934338562,-0.29146339108386,-1.35852989245697,189.0,SERPINH1;CALR;PPP1R15A;XBP1;HSP90B1;HSPE1;NFKBIB;HSPA5;GLA;STIP1;ME1;BTG2;CDKN1A;PSMC4;FKBP2;ALDOA;DDIT3;TOMM40;SHMT2;PNO1;DDX39A;HSPD1;ENO1;SDF2L1;CACYBP;BHLHE40;HPRT1;ARPC5L;NUFIP1;GBE1;FDXR;RPN1;GAPDH;AK4;RRP9;PNP;HSPA9;SQSTM1;CORO1A;AURKA;CDC25A;CFP;POLR3G;YKT6;PGK1,primary,primary,day3_vs_day1,Wald,0.0537811036077143,21098,0,0.0260936649119622
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.248284813647321,0.0366997894072305,-0.264751383826012,-1.11231361154657,96.0,CALR;HSP90B1;NFKBIB;ARHGDIA;MYD88;CDKN1A;DDIT3;ARF1;ECSIT;HRAS;PIN1;RPTOR;DUSP3;SQSTM1;TRAF2;FGF22;ARPC3;MKNK2;AKT1S1;PPP1CA;NGF;CXCR4;E2F1;CDK4;FGF17;TRIB3;RIPK1;PAK4;PPP2R1B;AKT1,primary,primary,day3_vs_day1,Wald,0.322770257741517,21098,0,0.248284813647321
HALLMARK_OXIDATIVE_PHOSPHORYLATION,3.65829022681553e-14,0.965327754226083,0.545290857332743,2.30961786397111,182.0,TIMM13;GPX4;RHOT2;COX8A;CYC1;ECH1;NDUFS7;NDUFS8;CYB5R3;MRPS12;ATP6V0C;NDUFS6;OGDH;SLC25A6;ETFB;NDUFV1;HSD17B10;SLC25A11;ECI1;POLR2F;UQCRC1;MDH2;NDUFB2;ATP6V1F;TCIRG1;NDUFB7;COX5B;ACAA1;IDH2;NDUFA2;NDUFA3;ACO2;MRPS15;BAX;UQCR10;UQCRQ;POR;COX6B1;ECHS1;COX17;IDH3G;MRPL11;COX4I1;ATP6V0B;SLC25A5;UQCR11;COX10;MFN2;NDUFAB1;MRPL15;TIMM50;TIMM8B;MRPL34;SDHB;TIMM10;IDH3B;NDUFA8;PMPCA;TOMM22;GPI;NDUFA1;PHB2;NDUFS3;NDUFB6;UQCRFS1;SLC25A3;CYCS;COX6A1;PHYH;GRPEL1;SLC25A4;HTRA2;PDHA1;SURF1;COX7C;NDUFA9;ATP6V1E1;SDHA;MTX2;ATP6AP1;MRPS11;NDUFA6;COX5A;TIMM9;MPC1;NDUFB3;NDUFS4;NDUFA7;COX6C,primary,omit_68_3__batch1,day1_vs_control,Wald,4.7557772948602e-13,21098,0,2.74371767011165e-13
HALLMARK_GLYCOLYSIS,0.000361166817843,0.49849310876659,0.378400343109125,1.60325644960719,184.0,ALDOA;SLC25A10;PGLS;GAL3ST1;GYS1;DPYSL4;AGRN;CLN6;GPC1;CACNA1H;ENO1;B4GALT7;SPAG4;FKBP4;B4GALT2;MDH2;PSMC4;PC;ARTN;B3GALT6;TPI1;G6PD;TALDO1;CHPF2;GALE;IER3;RBCK1;MPI;IDUA;PKM;XYLT2;B3GAT3;NOL3;PYGB;IGFBP3;MIF;QSOX1;CHPF;LHPP;CHST1;PFKP;CITED2;HSPA5;PLOD1;POLR3K;PGAM1;GALK1;B3GAT1;GMPPB;HAX1;PGK1;ISG20;ELF3;SDC3;COL5A1;MED24;ME1;ALG1;SLC16A3;TXN,primary,omit_68_3__batch1,day1_vs_control,Wald,0.0007825281053265,21098,0,0.0007739288953779
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0001610988122773,0.518848077743792,0.579116669896936,1.9661242186257,42.0,JUNB;GPX4;SBNO2;PRDX2;TXNRD2;STK25;HMOX2;G6PD;CDKN2D;ATOX1;MSRA;ERCC2;PFKP;GLRX2;LAMTOR5;NQO1;EGLN2;PRDX4;TXN;FTL;PDLIM1;SOD1;NDUFA6,primary,omit_68_3__batch1,day1_vs_control,Wald,0.0005235711399014,21098,0,0.0004027470306934
HALLMARK_MTORC1_SIGNALING,0.0928189910979229,0.0495497041835319,0.289773921730379,1.23284711862418,189.0,ALDOA;CALR;FKBP2;CORO1A;TOMM40;RRP9;GAPDH;NFKBIB;DDX39A;SQSTM1;PPP1R15A;ENO1;STIP1;PFKL;PSMC4;SERPINH1;TPI1;G6PD;CYP51A1;MCM2;HSPE1;GBE1;FDXR;MAP2K3;TM7SF2;PDAP1;ABCF2;CDKN1A;CDC25A;SDF2L1;PSMB5;YKT6;HSPA5;GPI;HSPD1;HSP90B1;NFYC;ARPC5L;CACYBP;HMBS;HPRT1;PGK1;SLC7A5;GLA;ME1;PSMD13;RPN1,primary,omit_68_3__batch1,day1_vs_control,Wald,0.109695171297545,21098,0,0.107098835882219
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0056683364091748,0.220823464091113,0.399366447076482,1.56104136618813,96.0,ARHGDIA;ECSIT;HRAS;CALR;PPP1CA;NFKBIB;SQSTM1;RPTOR;TRAF2;AKT1;PIN1;MKNK2;ARF1;TSC2;AKT1S1;PAK4;AP2M1;PFN1;CFL1;MAP2K3;CDKN1A;HSP90B1;RPS6KA1;DUSP3;MAPKAP1;CDK4;E2F1;FGF17,primary,omit_68_3__batch1,day1_vs_control,Wald,0.0081875970354747,21098,0,0.0094472273486246
