"pathway","contrast","block","leading_edge_genes","mean_leading_edge_log_ratio","fraction_same_gene_direction"
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","day3_vs_day1","69_2__batch1",7,-0.817938234518976,1
"REACTOME_SIGNALING_BY_NTRK2_TRKB","day3_vs_day1","68_3__batch1",13,0.248195470055779,0.923076923076923
"REACTOME_SIGNALING_BY_NTRK2_TRKB","day3_vs_day1","68_3__batch2",13,0.146892113200097,0.615384615384615
"REACTOME_SIGNALING_BY_NTRK2_TRKB","day3_vs_day1","69_2__batch1",13,0.400814285215551,0.769230769230769
"HALLMARK_FATTY_ACID_METABOLISM","day3_vs_day1","68_3__batch1",25,-0.441503330490901,0.84
"HALLMARK_FATTY_ACID_METABOLISM","day3_vs_day1","68_3__batch2",25,-0.267227651620029,0.88
"HALLMARK_FATTY_ACID_METABOLISM","day3_vs_day1","69_2__batch1",25,-0.981082834590202,1
"HALLMARK_DNA_REPAIR","day3_vs_day1","68_3__batch1",62,-0.138372964969159,0.693548387096774
"HALLMARK_DNA_REPAIR","day3_vs_day1","68_3__batch2",62,-0.0633587312220555,0.580645161290323
"HALLMARK_DNA_REPAIR","day3_vs_day1","69_2__batch1",62,-0.943829184923536,0.967741935483871
"REACTOME_TELOMERE_MAINTENANCE","day3_vs_day1","68_3__batch1",30,-0.131489515758744,0.733333333333333
"REACTOME_TELOMERE_MAINTENANCE","day3_vs_day1","68_3__batch2",30,0.0144607386084898,0.333333333333333
"REACTOME_TELOMERE_MAINTENANCE","day3_vs_day1","69_2__batch1",30,-0.794597937146932,0.966666666666667
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING","day3_vs_day1","68_3__batch1",0,,
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING","day3_vs_day1","68_3__batch2",0,,
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING","day3_vs_day1","69_2__batch1",0,,
