"pathway","pval","log2err","ES","NES","size","leadingEdge","tier","variant","contrast","rank_kind","fgsea_internal_padj","ranked_genes","rank_ties","family_fdr"
"REACTOME_MITOPHAGY",0.00541605120630231,0.252643909566276,0.503895994209418,1.68262735933173,35,"ULK1;SRC;ATG9A;PINK1;UBB;UBC;RPS27A;TOMM7;UBA52","secondary","RIN_ge6","day3_vs_day1","Wald",0.035204332840965,21098,0,0.0126374528147054
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",0.808263236021771,0.0207137582929953,-0.233644377422559,-0.774482630258293,25,"ATF3;DDIT3;DIS3;EXOSC1;EXOSC6;PARN;EXOSC7;ATF6","secondary","RIN_ge6","day3_vs_day1","Wald",0.95522018802573,21098,0,0.942973775358733
"REACTOME_SIGNALING_BY_NTRK2_TRKB",0.220264317180617,0.037330182403031,0.391726349883581,1.20136766615027,24,"CDK5;GAB1;SRC;PLCG1;FYN;TIAM1;GRIN2B","secondary","RIN_ge6","day3_vs_day1","Wald",0.513614202925214,21098,0,0.330396475770925
"HALLMARK_FATTY_ACID_METABOLISM",0.362177250523378,0.0424029731264084,-0.219003749030674,-1.03330809418505,139,"ODC1;ME1;GAD2;HSPH1;GPD1;S100A10;HSP90AA1;AOC3;MGLL;GPD2;GSTZ1;PTS;SMS;TP53INP2;PDHA1;UGDH;NBN;DLD;TDO2","secondary","RIN_ge6","day3_vs_day1","Wald",0.588538032100488,21098,0,0.507048150732728
"HALLMARK_DNA_REPAIR",0.557400211939244,0.0333359157343354,-0.202661384400866,-0.961030574861607,143,"RFC3;TAF13;HCLS1;TP53;HPRT1;NFX1;TMED2;UMPS;IMPDH2;POLR2K;DAD1;TAF10;ERCC4;RPA2;RAD51;POLH;POLR3C;GTF2H1;RPA3;NUDT9;RFC4;VPS37B;POLR2C;DGUOK;EIF1B;RRM2B;GTF2B;COX17;STX3;SMAD5;DCTN4;NPR2;PNP;TYMS;NELFE;POLD3;SF3A3;NUDT21;SDCBP;TAF12;POLR1C","exploratory","RIN_ge6","day3_vs_day1","Wald",0.805133639467797,21098,0,0.557400211939244
"REACTOME_TELOMERE_MAINTENANCE",0.271949828962372,0.0444381127313095,-0.269233786458077,-1.10269559621201,62,"RFC3;POLR2K;PPP6C;WRN;DSCC1;BLM;RPA2;RPA3;RFC4;POLR2C;POT1;TERF2;ANKRD28;SHQ1;POLR2B;RFC1;POLD3;NHP2;GAR1","exploratory","RIN_ge6","day3_vs_day1","Wald",0.513614202925214,21098,0,0.326339794754846
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING",,,,,,,"secondary","RIN_ge6","day3_vs_day1","Wald",,21098,0,1
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.37489005721936e-16,1.04762648849882,0.540632895724925,2.44438614767998,182,"GPX4;CYC1;OGDH;COX8A;TIMM13;NDUFS6;COX6B1;MRPS12;HSD17B10;MDH2;POLR2F;SLC25A11;UQCRC1;RHOT2;MFN2;SLC25A5;ATP6V1F;CYB5R3;UQCR10;NDUFV1;ECHS1;COX4I1;ECI1;NDUFS8;NDUFB2;GPI;NDUFB7;ECH1;NDUFS7;ACO2;IDH3B;MRPS15;NDUFA8;SLC25A6;NDUFA2;ACAA1;NDUFA1;NDUFA3;TIMM50;ATP6V0C;IDH2;IDH3G;UQCRQ;BAX;PDHA1;TIMM10;COX17;COX5B;ETFB;COX10;TIMM8B;SLC25A4;TCIRG1;UQCR11;MRPL11;ATP6V0B;UQCRFS1;POR;PMPCA;PHYH;PHB2;SDHB;SLC25A3;SURF1;NDUFAB1;HTRA2;TOMM22;COX6C;NDUFS3;COX7C;SDHA;MRPL34;NDUFB6;ALAS1;MRPS11;ACADVL;ATP6V1E1;MRPL15;ATP6AP1;UQCRH;COX6A1;MGST3;DLST;NDUFS4;NDUFB8;GOT2;UQCRC2;NDUFA4;NDUFB3;COX5A;SDHC;MTX2;CYCS;COX7B;GRPEL1;NDUFA6;VDAC1;NDUFC1","primary","one_library_per_group","day1_vs_control","Wald",1.78735707438516e-15,21098,1,1.03116754291452e-15
"HALLMARK_GLYCOLYSIS",2.2162733778796e-06,0.627256739718528,0.40780679296975,1.84564527124537,184,"ALDOA;GYS1;FKBP4;SPAG4;ENO1;TPI1;PGLS;MDH2;CLN6;TALDO1;MPI;CHPF;B4GALT2;GAL3ST1;G6PD;GALE;PKM;SLC25A10;B4GALT7;GPC1;PSMC4;PC;AGRN;PYGB;CACNA1H;DPYSL4;ARTN;RBCK1;B3GALT6;POLR3K;PGAM1;PFKP;ENO2;SLC16A3;IGFBP3;CHST1;B3GAT3;XYLT2;IDUA;QSOX1;MIF;LHPP;HDLBP;CHPF2;B3GAT1;HAX1;CXCR4;IER3;GALK1;ELF3;GMPPB;ISG20;PLOD1;MED24;PGK1;CITED2;SDC3;EFNA3;TXN;SOD1;AKR1A1;GUSB;HSPA5;NOL3;NSDHL;ALG1;CAPN5;COL5A1;GOT2;NDUFV3;PPIA","primary","one_library_per_group","day1_vs_control","Wald",7.20288847810871e-06,21098,1,8.31102516704851e-06
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.000149838453124396,0.518848077743792,0.5396471096007,1.9342771041853,42,"JUNB;GPX4;PRDX2;SBNO2;HMOX2;TXNRD2;G6PD;CDKN2D;STK25;ATOX1;FTL;ERCC2;EGLN2;PFKP;MSRA;GPX3;LAMTOR5;TXN;SOD1","primary","one_library_per_group","day1_vs_control","Wald",0.000324649981769524,21098,1,0.000321082399552277
"HALLMARK_MTORC1_SIGNALING",0.0287717601547389,0.0924960508813,0.297152347924242,1.35005212525938,189,"CALR;ALDOA;NFKBIB;GAPDH;TOMM40;FKBP2;PPP1R15A;ENO1;SQSTM1;STIP1;RRP9;TPI1;CORO1A;DDX39A;G6PD;SERPINH1;GPI;MAP2K3;PSMC4;PSMB5;ABCF2;PFKL;PDAP1;QDPR;PGM1;YKT6;CDKN1A;CYP51A1;TM7SF2;MCM2;ARPC5L;FDXR;HMBS;CXCR4;CDC25A;HSPE1;PSMD13;TRIB3;SLC2A1;NFYC;PGK1;GLA;CCNF;CYB5B;FADS2;CFP;SLC7A5;HSPA5;NMT1;GBE1;RPN1;HPRT1;SDF2L1;LDLR;TUBG1;PPIA;PRDX1;CACYBP;EBP;GOT1;DHCR7","primary","one_library_per_group","day1_vs_control","Wald",0.0340029892737823,21098,1,0.0359647001934236
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.000754071064358319,0.477270815362862,0.408072920015861,1.69567141172458,96,"CALR;HRAS;ARHGDIA;NFKBIB;ECSIT;PPP1CA;SQSTM1;CFL1;PAK4;AKT1;TRAF2;AP2M1;MAP2K3;PFN1;ARF1;MKNK2;RPTOR;PIN1;AKT1S1;TSC2;CDKN1A;RPS6KA1;MYD88;DUSP3;CXCR4;TRIB3;SLC2A1;CDK4;FGF17","primary","one_library_per_group","day1_vs_control","Wald",0.00122536547958227,21098,1,0.00125678510726387
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",1.07666528370618e-11,0.875325132024659,0.525006740006711,2.31308650988079,145,"SLC25A22;ECSIT;CYC1;COX8A;NDUFS6;COX6B1;MDH2;SLC25A11;UQCRC1;NDUFA11;PNKD;UQCR10;NDUFV1;SCO2;COX4I1;COA3;NDUFS8;NDUFB2;NDUFB7;NDUFA13;NDUFS7;NDUFAF3;TACO1;NDUFA8;NDUFA2;NDUFB11;NDUFA1;NDUFA3;NDUFB10;UQCRQ;COX17;COX5B;ETFB;LYRM4;HIGD2A;BCS1L;UQCC2;LETM1;UQCR11;NDUFAF2;UQCRFS1;SDHB;NDUFA12;SURF1;NDUFAB1;COX6C;NDUFS3;COX7C;TRAP1;ACAD9;SDHA;TMEM223;NDUFB6;NDUFB9;COX19;FOXRED1;COX14;SFXN4;NDUFS5;PET100;UQCRH;COX6A1;NDUFS4;NDUFB8;GOT2;NDUFV3;TMEM126A;UQCRC2;NDUFA4;GOT1;NDUFB3;COX5A;SDHC;SMIM20;CYCS;NDUFAF1;COX16;COX7B;NDUFA6;NDUFC1;SLC25A18;COX7A2;TMEM186;TIMM21;COX7A2L;TMEM177;OXA1L;PET117;NDUFB4","secondary","one_library_per_group","day1_vs_control","Wald",6.99832434409018e-11,21098,1,1.13049854789149e-10
