symbol,gene_id,tested_module_membership,curated_NRF2_context_member,primary__day1_vs_control__log2FoldChange,primary__day1_vs_control__lfcSE,primary__day1_vs_control__stat,primary__day1_vs_control__pvalue,primary__day1_vs_control__padj,RIN_ge6__day1_vs_control__log2FoldChange,RIN_ge6__day1_vs_control__lfcSE,RIN_ge6__day1_vs_control__stat,RIN_ge6__day1_vs_control__pvalue,RIN_ge6__day1_vs_control__padj,68_3__batch1__day1_vs_control__log2_normalized_ratio,68_3__batch2__day1_vs_control__log2_normalized_ratio,69_2__batch1__day1_vs_control__log2_normalized_ratio,primary__day3_vs_control__log2FoldChange,primary__day3_vs_control__lfcSE,primary__day3_vs_control__stat,primary__day3_vs_control__pvalue,primary__day3_vs_control__padj,RIN_ge6__day3_vs_control__log2FoldChange,RIN_ge6__day3_vs_control__lfcSE,RIN_ge6__day3_vs_control__stat,RIN_ge6__day3_vs_control__pvalue,RIN_ge6__day3_vs_control__padj,68_3__batch1__day3_vs_control__log2_normalized_ratio,68_3__batch2__day3_vs_control__log2_normalized_ratio,69_2__batch1__day3_vs_control__log2_normalized_ratio
GCLC,ENSG00000001084.6,PAPER_NRF2_FIVE_TARGETS;REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,True,-0.542519185223769,0.181537705648868,-2.98846558231333,0.002803820775211,0.0241555193033587,-0.352212963988671,0.159715168379826,-2.20525681788131,0.0274360781731472,0.134941361933214,-0.47933965758917,-0.491284014772035,-0.652746515424225,0.0098349363582508,0.179725354441723,0.0547220306717483,0.956359917719777,0.995609505815085,0.014360465700348,0.156979988652396,0.0914795944605825,0.927111519504576,0.982867882011133,-0.0862696008343811,0.243772650505109,-0.126136727778063
GCLM,ENSG00000023909.5,PAPER_NRF2_FIVE_TARGETS;REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,True,-0.368769898982975,0.217299475254161,-1.69705839626004,0.0896856207371772,0.259040090261366,-0.196709123985417,0.161265048782374,-1.21978770645383,0.222545362896103,0.488505199408962,-0.25451764462882,-0.0094048095018202,-0.823369922560389,-0.0712036449674137,0.214960621779499,-0.331240412211184,0.74046289701423,0.959947322053936,-0.0702286061936315,0.156537981907344,-0.448636205334499,0.65369411157962,0.878756914151889,-0.15718616954485,0.193800773084499,-0.217270479721227
GGCT,ENSG00000006625.13,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,False,0.0533317977651477,0.190983260855827,0.279248545271241,0.780054091015429,0.901462127360852,0.0691117969016778,0.154744839155219,0.446617782402127,0.655151054031475,0.841320062950394,0.095890359037659,0.0580809448579505,0.0026027296343134,0.0202976093458065,0.190391052424585,0.106610101090998,0.915098304748127,0.992112921646971,0.0202501579475332,0.152502243357845,0.132785967613712,0.894362652301078,0.973801637787439,-0.137293636109931,0.347258081641073,-0.16087053872058
GGT1,ENSG00000100031.14,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,False,0.746505171933095,0.339994684667403,2.19563777199446,0.0281178804292035,0.12021865783035,0.374181935221384,0.341291102228336,1.0963717857814,0.272916105919343,0.546142021059293,0.629852439131728,0.744193139629913,0.788486706069473,0.346834861900614,0.341105169311047,1.01679743699323,0.309249801645656,0.803768313553533,0.333320077936181,0.328993780563285,1.0131500886293,0.310988476460553,0.654273271619049,0.699650210691204,0.260726910962171,0.11026537930699
GGT5,,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,False,,,,,,,,,,,,,,,,,,,,,,,,,,
GGT6,,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,False,,,,,,,,,,,,,,,,,,,,,,,,,,
GGT7,ENSG00000131067.12,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,False,0.210502443389216,0.210111569592507,1.00186031543845,0.31641106151936,0.558452144965078,-0.136517325036795,0.138141734900986,-0.988240991288007,0.323034637134515,0.597592891468608,0.0154854301604033,-0.135391237850669,0.727523816594521,0.124373337466263,0.210001897792031,0.592248635721533,0.553684105610723,0.91590378881648,0.132864063451811,0.137141231384427,0.968811947439595,0.332639024443821,0.676949973894939,0.312486488852134,-0.154949577278231,0.227760013947
GPX4,ENSG00000167468.12,GPX4_SENTINEL,False,1.55032399346458,0.289679972962475,5.35185079455048,8.70591706242802e-08,1.53470807948835e-05,0.783765579521058,0.195561879322304,4.00776256720944,6.12966975926909e-05,0.0019676332941969,1.36498855937106,0.976925079594116,2.13329152397633,0.948447742139704,0.289775062449655,3.2730481847605,0.0010639433832014,0.0987134137203676,0.858810205232994,0.194612420172401,4.41292598114858,1.01982870705069e-05,0.001725876517516,1.39132658635908,0.960020842713392,0.307293545802141
GSR,ENSG00000104687.8,PAPER_NRF2_FIVE_TARGETS,True,0.0815536108865733,0.174729429811121,0.466742271034313,0.640684282777127,0.817493600055146,0.137049758990272,0.132667292994761,1.03303350732937,0.301588218265644,0.577225987226736,0.252138169039057,0.076233125808951,-0.0872251856352815,0.170425206322467,0.174328137792601,0.977611580554042,0.328266467560814,0.815328032732353,0.172669661671252,0.131464499910843,1.31343185261689,0.189037470157119,0.514093849557517,0.154196329323195,0.34317959391363,0.0136435409187285
GSS,ENSG00000100983.5,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,False,0.103715423269983,0.176315198772599,0.588238699737674,0.556372084836714,0.761882214775131,-0.0930754791740661,0.143627668102601,-0.648033073318278,0.516963559226498,0.754300395356417,0.0378307693829658,-0.0445859566508933,0.311125191720608,0.135477415270913,0.175806334659981,0.770605993992957,0.440940507281458,0.872582176400003,0.141066834143739,0.141440526159976,0.997357956546245,0.31859079124928,0.662211959261886,0.0026237775462743,0.164668663686953,0.240630463525102
GSTA1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
GSTA3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
HMOX1,ENSG00000100292.12,PAPER_NRF2_FIVE_TARGETS,True,0.745660086822022,0.442244044195736,1.68608282374515,0.0917798478154202,0.263077357816721,0.406149914834022,0.443371965213284,0.916047803425378,0.359641822796421,0.630806947385488,1.4272592303313,0.6020305237914,0.325970888726482,0.450089161075552,0.44148828182051,1.01948155728976,0.307974404421433,0.803117671490507,0.390585372149133,0.428124396602092,0.912317483537738,0.361601613316518,0.700969049641664,1.50768136934975,0.433748432556947,-0.583652844229188
MAFK,ENSG00000198517.5,,True,0.969277253686171,0.467670369110739,2.07256503235221,0.0382127781349973,0.147644403409632,0.172150796388944,0.380296937507932,0.452674684989681,0.650783010932698,0.838919184233412,-0.457072421500149,0.646268980747319,2.00443558096377,0.744242532660444,0.466703397471248,1.59467991168051,0.11078383244096,0.576187038536905,0.708605781410029,0.358176796049055,1.97836875315893,0.0478871220788452,0.236794863942437,1.1598112291909,0.380966742664365,0.470836923350548
NFE2L2,ENSG00000116044.11,,True,-0.650186624845954,0.202677804479085,-3.20798138956084,0.0013367014798661,0.0142022014591105,-0.555953157025537,0.16771644497908,-3.31483986018714,0.0009169563858905,0.0137471972977519,-0.687105932404434,-0.755177573029076,-0.497306473518144,-0.682217465415162,0.201104021230193,-3.3923611335164,0.0006929304598772,0.0883027165556858,-0.686818305980324,0.164590125291831,-4.17290104593177,3.00745581896894e-05,0.0028397068842571,-0.850604362400508,-0.896801461999009,-0.322147612800846
NOX4,ENSG00000086991.8,,False,-0.646354109972064,0.590290092975101,-1.09497705901584,0.273526687095718,0.516208719673727,-0.593076835406456,0.570160694434951,-1.04019242503943,0.298250510086732,0.573958776477565,-0.674052313323291,-1.01363223375003,-0.389605317912005,-0.517606419619059,0.573492312653406,-0.902551626584536,0.366763909761479,0.837177361989451,-0.520525764785643,0.535640013112822,-0.971782824364924,0.33115860228792,0.675455152795632,-0.125525805531114,-0.476919761510592,-0.876245532347661
NQO1,ENSG00000181019.8,PAPER_NRF2_FIVE_TARGETS,True,0.69291233951045,0.266486139837727,2.60018153263952,0.0093174457065643,0.0562022373757233,0.635179909545291,0.234429431756487,2.70947169383186,0.0067390455243659,0.0538156923452005,1.02851618509559,0.820650387495647,0.304421120895901,0.429802898884087,0.265800285868226,1.6170144342778,0.105875165195804,0.567727058188096,0.415768867951262,0.231196354227612,1.79833661019559,0.0721236814739943,0.301343937961856,0.723230974791797,0.917700733616932,-0.297794920375169
OPLAH,ENSG00000178814.11,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,False,1.07864472041672,1.01002934625927,1.06793404014604,0.285550266229617,0.528249263823465,-0.156812899231181,1.19865544286473,-0.130823999644473,0.895914537188202,0.960618276051571,-0.790477985167293,0.171557746039524,2.42303047141547,-0.942720776620728,1.09489318359338,-0.861016207559876,0.389229116613249,0.849804183387002,-0.649082805467311,1.17701549556822,-0.551464961940843,0.58131497923432,0.843476295408392,0.141790923439833,-2.60407727268976,0.189783621846009
PGD,ENSG00000142657.16,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,0.550815061025151,0.202868155959375,2.71513810740929,0.0066248137052029,0.0442784546982188,0.390800619129346,0.150765291524051,2.59211264859991,0.0095388531915385,0.0679181758376997,0.818337834125646,0.187094054317768,0.648691575506904,0.662649280628892,0.202783233611896,3.26777154514227,0.0010839782539169,0.0994425346628133,0.652791073760354,0.150424718932922,4.33965293996293,1.42707918529703e-05,0.0019351559670367,1.08746349225244,0.557430959664945,0.335704357892835
PGLS,ENSG00000130313.2,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,False,1.35583745996686,0.310261874430888,4.36997765985223,1.24259248370384e-05,0.0004975209494847,0.624176827179735,0.227925971758826,2.7385068158893,0.0061718881082003,0.0506874390638388,1.34486348343027,0.747622752536074,1.81910847922252,1.03685532323366,0.310228444921465,3.34223163674156,0.000831076750652,0.0929778942352441,0.925944909055994,0.225036700595507,4.11463955259607,3.87784896381917e-05,0.0032169418423776,1.68340297543701,0.995028162047884,0.213384224302905
