"","ctrl1-1","ctrl1-2","ctrl11-3","ctrl12-3","ctrl2-1","ctrl2-2","ctrl3-1","ctrl3-2","trt31-1","trt31-2","trt311-3","trt312-3","trt32-1","trt32-2","trt33-1","trt33-2","trt41-1","trt41-2","trt41-3","trt42-1","trt42-2","trt43-1","trt43-2","trt51-3","trt511-2","trt511-4","trt512-2","trt512-4","trt52-1","trt52-2","trt61-1","trt61-3","trt62-1","trt62-2","trt63-2","trt71-1","trt71-3","trt72-1","trt72-3","trt81-1","trt81-3","trt82-1","trt82-3"
"trt311-3",150.127798504545,108.118455985285,84.4070408405123,92.9782792940691,130.369654270954,130.851254754272,131.43178608495,98.2634315451132,127.03556860499,95.1157753820672,0,79.4717066339408,127.126262483694,91.665802101378,123.009317271416,88.561374195501,127.802944606739,91.4234176553707,100.782699513008,140.344603534511,94.2333777698875,138.609533711061,89.1408884830746,84.0701342479207,92.0890887020376,171.252280928504,88.6336538902909,176.836389041158,131.457609710125,114.505229145094,134.199546849721,99.4265683122827,135.340741224211,86.5165649395598,83.2106345190946,141.694614443602,100.984651993624,137.15370439691,100.980908742924,144.367430187805,127.216226483575,151.513388164853,133.060528264632
"trt312-3",166.281629629034,127.067279600803,101.622247841455,96.0006623050284,131.043022232331,147.662086758649,141.009164296535,114.442919158779,136.22590365955,101.319853476301,79.4717066339408,0,134.402858204514,94.9542970191867,129.056314988535,102.761188018277,138.048215088341,109.434104796049,83.4230199573277,156.182156994689,97.4901893347161,153.481893965048,103.943281811699,87.1636149197947,104.970256527661,150.321151724808,96.8011160583736,155.35753129907,142.415971281691,124.439876622752,146.797503652226,99.4625827655231,149.057051476856,91.6667065571455,90.5292167338555,144.191723001524,95.6184588580108,142.625463953307,100.761471025527,143.921558060968,106.208271855443,156.452907986959,109.420436663644
"trt32-1",102.955171398295,136.221071360726,129.119645087086,129.845157690628,81.5432833875463,154.401147807123,81.2324470073369,132.306863227929,73.5138509962141,132.727252912509,127.126262483694,134.402858204514,0,137.833618921425,72.7450984294859,130.184208007014,72.4013706044652,125.510895058448,145.482535212543,88.4880771119085,131.950705915562,83.3564702064803,126.617364975877,131.465283013089,131.035641187497,148.299863457469,130.688611249393,154.825696223466,83.7085698533316,152.463300828778,89.2639020730309,141.666689144603,87.6414761887581,129.041929706476,125.273607736053,108.444424329559,142.886366557713,100.387971160379,142.582733362718,112.255344104223,166.538298203619,119.200830082631,171.346859650183
"trt32-2",158.665091242587,118.349771531652,105.311923784566,100.66415725095,138.54739863838,139.846013547722,140.303745929549,103.933318288547,137.498654794656,104.299063940805,91.665802101378,94.9542970191867,137.833618921425,0,130.232354037603,84.8112484918903,137.889424340456,109.127923353824,108.321394814006,150.623765915969,104.490603371857,148.993448313845,100.746741881715,100.467891361295,104.466368809264,172.843809112021,100.049519694918,178.130347212026,141.505932508269,96.2232910580453,141.913652690207,111.557460744427,144.939204415899,92.190859616502,91.0508969967885,147.640635195309,115.532815785486,143.721656026486,116.697032626198,149.331547901533,136.722493993983,157.436933882875,141.504427977238
"trt33-1",105.617223730599,136.173685561473,127.319076672841,125.887934224594,76.3082384346971,155.492182331141,76.9568435350646,128.48704068935,70.893672422213,131.303463669183,123.009317271416,129.056314988535,72.7450984294859,130.232354037603,0,124.969598884244,69.3180067304452,125.812850487492,138.2996199999,89.9147093666,129.172640402742,87.1908783679797,125.157567515543,127.484610045795,129.28832404308,141.864789580195,127.88209128963,148.418575573789,82.1943793502044,146.288405122022,85.8571876380257,137.873526841227,87.1669480071898,123.240726526341,120.920820129529,101.824552585268,139.09564192589,94.5548636156039,139.525816430595,108.169963656972,162.173814333685,117.363424271804,166.918727701932
"trt33-2",142.715171410212,96.9037597039825,92.8149677458525,95.1811923103258,134.456443769302,119.538791291386,130.73121690091,85.7672591746189,128.26690947234,95.5368303113352,88.561374195501,102.761188018277,130.184208007014,84.8112484918903,124.969598884244,0,127.820093016005,89.5052532464587,115.756946639576,134.567631323466,99.7349564236628,134.120220534908,85.7668682039911,99.4427229571468,93.7455389596081,186.7402259657,95.2688534870384,192.533849885389,130.165522113843,101.119190950507,130.153436175646,114.630348834845,131.684342127923,86.8584889223151,85.009589891562,144.831568529371,117.678699161224,138.020867024079,115.769506525233,147.464970463168,149.266516802232,150.992757383659,155.644741556792
"trt41-1",97.3822664936292,132.542746380508,127.376853491798,130.69439361726,80.6980257344944,150.628872438917,75.4141861355201,128.350014712201,68.9432342948717,133.061438254192,127.802944606739,138.048215088341,72.4013706044652,137.889424340456,69.3180067304452,127.820093016005,0,122.957771569714,148.971951482261,79.7451970521024,132.432580555271,78.3406646558454,124.757089836073,133.489624953194,130.779303744943,156.872222407198,131.849980363757,163.468740502862,79.6547999068224,150.899537959467,82.6051599670839,144.139224510841,81.7162705686241,128.599734045742,125.632671470285,106.210589811771,145.876658449972,97.4702420227015,144.6589913399,113.008324886562,173.169398720324,117.85936716902,178.507904572603
"trt41-2",136.563563082351,85.5557037295001,86.4704324716496,92.2410915728914,132.669589512845,109.861306365126,126.847696590329,85.1617231068807,124.058210985377,92.4780895174903,91.4234176553707,109.434104796049,125.510895058448,109.127923353824,125.812850487492,89.5052532464587,122.957771569714,0,123.340901588252,126.925008388437,94.1978044431723,126.053694803763,77.0356617143284,101.763346705621,92.1005662966289,193.250096304534,96.1341343188193,199.448830518268,126.160584327664,123.338756473551,128.778660483836,118.631999403664,127.43817112839,93.5736162115009,87.0816078372122,145.918228067651,118.016195415012,138.088833344408,115.050139058636,151.078323892169,154.672052628913,152.504401394244,161.50685631349
"trt41-3",180.954968188145,137.053180699755,118.370012365129,96.1304508241009,135.542359307925,159.238083372937,149.480181813101,121.391319176528,147.276660490765,111.763058478741,100.782699513008,83.4230199573277,145.482535212543,108.321394814006,138.2996199999,115.756946639576,148.971951482261,123.340901588252,0,170.645266970216,107.881880487245,167.255248034113,117.768311000599,102.928371444442,123.865141899497,141.992322940235,113.600700357033,146.329792328353,153.892426450575,139.907786884983,159.308939560029,115.277660960816,162.481009364996,97.2714515416094,100.23209711241,148.849327064565,104.086997539495,149.971906837878,111.457443119191,153.498802638853,108.027705809628,168.202766213606,108.281939695167
"trt42-1",85.3068989895647,129.506307796368,137.361592682917,145.393831918245,102.963628007455,140.531029938365,89.3968410955598,129.885965708548,82.9647150450355,138.18023339525,140.344603534511,156.182156994689,88.4880771119085,150.623765915969,89.9147093666,134.567631323466,79.7451970521024,126.925008388437,170.645266970216,0,144.688635425793,76.6520013343901,127.871361609224,148.358948999669,134.731371432922,186.226106434952,141.465122927847,193.280477909793,85.2769612075365,153.361133654586,82.863557392469,160.132218124036,81.757342640962,140.299128831632,137.643910735224,123.779602498472,163.132541711086,110.570059833618,158.984104143624,120.555586059581,193.692918859212,117.146342140623,201.008509087544
