"","ctrl1-1","ctrl1-2","ctrl11-3","ctrl12-3","ctrl2-1","ctrl2-2","ctrl3-1","ctrl3-2","trt31-1","trt31-2","trt311-3","trt312-3","trt32-1","trt32-2","trt33-1","trt33-2","trt41-1","trt41-2","trt41-3","trt42-1","trt42-2","trt43-1","trt43-2","trt51-3","trt511-2","trt511-4","trt512-2","trt512-4","trt52-1","trt52-2","trt61-1","trt61-3","trt62-1","trt62-2","trt63-2","trt71-1","trt71-3","trt72-1","trt72-3","trt81-1","trt81-3","trt82-1","trt82-3"
"trt42-2",0.965177088510889,0.981584626887499,0.986664974051746,0.98741836768403,0.975131442166258,0.973145638375128,0.974601553312571,0.98347326836757,0.975065033601808,0.983849524529047,0.987580205079507,0.986846937937436,0.975465554717205,0.985115929393238,0.976464108888134,0.986110509430143,0.975242685143238,0.987457033975727,0.983817302814253,0.970518634472633,1,0.971196335185988,0.986547207104143,0.986394147702001,0.983182565665504,0.960083585779764,0.984463848553218,0.957638842790781,0.972612643226232,0.975600455301331,0.97051699486483,0.983351418307914,0.970619207600011,0.986122991333092,0.987783695541335,0.969650005554548,0.983712841602556,0.971112754061857,0.982678036671335,0.965643417414326,0.974673952270318,0.962296184768267,0.973818837695561
"trt43-1",0.989249047641441,0.976002738263478,0.973910131344183,0.971178414559703,0.986114190700942,0.971510928114823,0.989198917263926,0.976030630371827,0.990683604162928,0.973684333611972,0.972981495438809,0.967212982569563,0.990185496967074,0.96944765730935,0.989258412203243,0.974800175188916,0.991336161695974,0.977438499646612,0.960977956776825,0.991705719350619,0.971196335185988,1,0.977099022013599,0.969845436689461,0.974444915158513,0.955393235012761,0.972409619077909,0.952172333614619,0.989771201718072,0.967341719287147,0.989983366422,0.965416448634977,0.990422599740303,0.972779868858105,0.973879633120688,0.979008549606994,0.963989001926773,0.983232518730448,0.965565388307031,0.980380897489054,0.950825842533865,0.980967189982269,0.947498903562654
"trt43-2",0.974240907198839,0.990731893873944,0.987756062659478,0.9884456992506,0.975505078524036,0.986145149898829,0.976999929267826,0.991199312104237,0.978067209568826,0.991184767593701,0.988807259038239,0.984997897854188,0.977356606222777,0.986117969573425,0.977878881574345,0.989711406797104,0.978023720749758,0.991651439566821,0.98075013264564,0.976884074306546,0.986547207104143,0.977099022013599,1,0.985042005466053,0.989097243765592,0.950682652306524,0.987872057233086,0.94763141919442,0.977693352924884,0.983207993274029,0.978014461302938,0.979817293189849,0.97753048067191,0.98919893511111,0.989735715671885,0.970194443269991,0.980508342365658,0.973953047909991,0.98170621711625,0.972589468084656,0.969944360743543,0.972166187198393,0.966945900135145
"trt51-3",0.965185054293663,0.979313901955291,0.987564996462799,0.986590760702752,0.974729704118565,0.970165943983078,0.973459950324321,0.982902201867284,0.975223718465644,0.983153509256745,0.990187743173396,0.989608744518575,0.975497284948207,0.986426143552205,0.976905454464381,0.986220578080898,0.974629476602819,0.98518828407513,0.985252193860265,0.968834201895089,0.986394147702001,0.969845436689461,0.985042005466053,1,0.988513600792861,0.963706181419184,0.990156864089323,0.961407040062981,0.974618009255731,0.980666747637159,0.972177704611123,0.991046833015635,0.972257303579767,0.989020256737016,0.990575543110633,0.974010714829385,0.987669724023001,0.975056056564678,0.986675896743402,0.969895730130758,0.980786465558657,0.966046388663475,0.979574855986249
"trt511-2",0.973495631539333,0.986089686647893,0.985218192221754,0.984431644712959,0.973172560857801,0.981802278905721,0.974020587579057,0.988051457664834,0.976258793799693,0.987968405441857,0.988064486616045,0.984708878937566,0.975647346192008,0.98512381887475,0.976269509598998,0.98769360024616,0.975699173722296,0.987906653935364,0.978603519131939,0.974260258070285,0.983182565665504,0.974444915158513,0.989097243765592,0.988513600792861,1,0.952522846546381,0.991235805197944,0.94957321835084,0.978216132448622,0.985570657953752,0.977975751263241,0.983526882832367,0.977495098370791,0.989454366077905,0.990200559400531,0.971090251624669,0.98058655581803,0.974628254962131,0.981630707980661,0.974345130323805,0.971909327959181,0.973754770046503,0.969007877997681
"trt511-4",0.946644179622267,0.939047184443669,0.951340067413569,0.960909533804356,0.975792127810696,0.928150006401619,0.965086333522805,0.945961107683711,0.96771471444142,0.954583172297559,0.960191869468239,0.969512329957303,0.970056627135159,0.959933665223107,0.972583797125004,0.952580632365318,0.966354968591511,0.948642733444966,0.972620752261188,0.95263956207168,0.960083585779764,0.955393235012761,0.950682652306524,0.963706181419184,0.952522846546381,1,0.95863392260198,0.992322441237166,0.964912923103898,0.946653760063113,0.960320589829298,0.962069111237876,0.959327459058427,0.961465802541519,0.962022970016648,0.968205115047843,0.964122876816443,0.965468947306396,0.959758117049277,0.967379295162925,0.971055337506344,0.957362917039163,0.973129861355287
"trt512-2",0.969996962763601,0.983318203007709,0.985484822708777,0.985730718395456,0.974261480096811,0.977360884707801,0.973864576885446,0.986150008830543,0.976010964155905,0.986897787370087,0.988958662936807,0.987011589304358,0.975834912702699,0.986357083264358,0.976843403574597,0.987292831532894,0.975367471981635,0.986869638330197,0.982038439444289,0.971690359581245,0.984463848553218,0.972409619077909,0.987872057233086,0.990156864089323,0.991235805197944,0.95863392260198,1,0.955894475699295,0.976941913775095,0.984227492425611,0.975866389394152,0.985794598421023,0.975411903941448,0.989819235010513,0.990882236994481,0.972043810140067,0.982977779716383,0.974588800707342,0.983222881884893,0.973397969251759,0.976027018946105,0.97117745020268,0.97379444561133
"trt512-4",0.94267634639919,0.935615929601806,0.948732911524036,0.958619610826141,0.973486322856584,0.924166183913412,0.962284864790014,0.942766005332462,0.964907385861679,0.95160244830525,0.957697202312119,0.967536439661738,0.967494123422739,0.957549671698139,0.970121013575849,0.949765237836268,0.963623793982326,0.94552227210427,0.971039823093583,0.949165982583057,0.957638842790781,0.952172333614619,0.94763141919442,0.961407040062981,0.94957321835084,0.992322441237166,0.955894475699295,1,0.961902609215741,0.94366039896486,0.956962844798433,0.959926465510512,0.955993909106159,0.959008254455169,0.959556444967597,0.965911914050301,0.962146028742867,0.962725316595612,0.957474782144953,0.964207710939094,0.969750091014826,0.954045339369177,0.97202925749686
"trt52-1",0.988175032404994,0.974908282571119,0.973949935009218,0.972901943453093,0.987560917108695,0.97039810982033,0.988303694210037,0.976810492823678,0.991000590463749,0.975746719173186,0.975648026792856,0.971746846532871,0.990070167065795,0.972510010135335,0.990397438081192,0.976216468577413,0.990963822947044,0.977195886563642,0.966825890262348,0.989726248483711,0.972612643226232,0.989771201718072,0.977693352924884,0.974618009255731,0.978216132448622,0.964912923103898,0.976941913775095,0.961902609215741,1,0.972015273779895,0.992570598989512,0.969943932367296,0.992514388210919,0.977773476573407,0.978293031440218,0.982282334585299,0.968085068483973,0.985646083313862,0.969002357873771,0.984605649819417,0.958099364138451,0.984081066752487,0.95532498821635
"trt52-2",0.968490154599441,0.979842203363055,0.976941661081007,0.977430124459678,0.965414798388557,0.976392576387043,0.966290590947977,0.983889167645548,0.969212352804144,0.982793550023853,0.981899389515306,0.978790560016564,0.967921647611909,0.987393960171419,0.970552733275372,0.986010722011558,0.968684833931246,0.979224302482142,0.973373677001345,0.967452166360605,0.975600455301331,0.967341719287147,0.983207993274029,0.980666747637159,0.985570657953752,0.946653760063113,0.984227492425611,0.94366039896486,0.972015273779895,1,0.973380820927026,0.974699977127842,0.971785986014594,0.98600726580378,0.985685452662192,0.963914987206223,0.970947152603771,0.967387958566833,0.972338453213773,0.969655161064263,0.963269376230936,0.969075954666701,0.96026346066444
